,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,1005649,465340.0,540309.0,64113,73618,72100,64169,49015,55893,Bye,55830,77857,49600,72015,77809,46550,75851,64337,47074,59818
1,Atlanta Falcons,957594,460922.0,496672.0,69555,63663,63253,50712,57289,51973,58141,52594,68466,Bye,65158,55507,62568,67465,66196,47074,57980
2,Baltimore Ravens,995971,547127.0,448844.0,62100,68965,68803,50712,65486,Bye,68771,68673,72898,57391,43279,68428,67854,46715,67597,68036,50263
3,Buffalo Bills,1103911,561269.0,542642.0,56238,68839,70872,74073,71038,71113,66301,68673,78721,72810,79285,72111,Bye,72527,64337,55014,61959
4,Carolina Panthers,983337,489515.0,493822.0,58166,64261,61269,76831,Bye,68151,64322,52594,62569,65965,72818,55507,62285,59869,62373,39428,56929
5,Chicago Bears,1044226,526989.0,517237.0,58381,66944,50458,66944,64107,66944,65283,77621,59867,66944,56055,77905,66944,Bye,66944,65941,66944
6,Cincinnati Bengals,916042,404679.0,511363.0,65272,47660,61269,45481,73048,59669,55996,49138,66303,46017,43279,50907,53463,59972,Bye,68036,70532
7,Cleveland Browns,1063703,580934.0,482769.0,73138,65904,68803,72368,73048,62047,65866,48817,72898,58213,72818,72008,53147,59972,72038,72618,Bye
8,Dallas Cowboys,1036670,513295.0,523375.0,79237,63663,Bye,64169,66669,78204,64377,56860,64111,64634,72015,64328,58444,64086,64271,47835,63767
9,Denver Broncos,1109037,577309.0,531728.0,75623,78683,65297,74181,55704,73352,60011,75021,61204,66314,70012,Bye,73855,71357,65987,73158,69278
10,Detroit Lions,1094310,579314.0,514996.0,66238,76202,78384,Bye,61481,76516,64322,63135,73224,49600,59869,77905,77693,65536,66944,73158,64103
11,Green Bay Packers,1026536,478900.0,547636.0,59872,76202,59868,Bye,59868,73352,68274,59869,59867,64634,59869,68304,66944,59869,64203,65723,59818
12,Indianapolis Colts,1000238,453269.0,546969.0,56238,59640,56942,Bye,56810,78112,55996,56860,56689,78081,65521,56689,74096,56975,57012,72618,61959
13,Jacksonville Jaguars,1054581,530085.0,524496.0,68678,64261,61502,57308,78216,62047,Bye,49138,68466,57391,69772,68428,68806,71357,72038,66641,70532
14,Kansas City Chiefs,1125231,629545.0,495686.0,58381,78683,78384,58099,78636,Bye,68771,78473,56689,64927,78714,48632,73855,78932,78697,66332,79026
15,Miami Dolphins,1139646,592161.0,547485.0,75623,73618,Bye,74073,56810,60006,73975,61556,74109,72810,74295,64328,74096,78246,73765,74230,78106
16,Minnesota Vikings,1083723,513051.0,570672.0,69555,64080,59868,64106,64107,76516,64109,75021,64111,66944,Bye,64232,65741,78932,64203,78095,64103
17,New England Patriots,1015541,461624.0,553917.0,78227,59640,59169,72368,78636,60006,60011,55830,Bye,59077,74295,72111,58444,56975,65475,55014,50263
18,New Orleans Saints,945488,410147.0,535341.0,58166,67685,Bye,66944,57289,51875,77982,48817,47129,52198,69772,65864,62568,46838,67597,47835,56929
19,New York Giants,1135506,614815.0,520691.0,65026,73170,59169,73274,49015,78204,77982,66481,Bye,78081,78641,77809,78200,72527,66065,78095,63767
20,New York Jets,1149071,626258.0,522813.0,78227,68839,78161,74181,78216,78112,47326,Bye,77857,59077,79285,56689,78200,78246,64271,74230,78154
21,Oakland Raiders,938846,398140.0,540706.0,59872,64080,50458,66400,55704,71113,47326,61556,Bye,43353,70012,48632,44716,66357,46395,63846,79026
22,Philadelphia Eagles,1052846,519835.0,533011.0,64113,64285,70872,73274,66669,66944,73975,66481,62569,66591,65521,74741,46550,64086,65475,Bye,60700
23,Pittsburgh Steelers,972207,416618.0,555589.0,73138,68965,57881,57308,71038,59669,58141,Bye,68657,58213,66619,50907,68806,46715,78697,39428,48025
24,San Diego Chargers,981559,476999.0,504560.0,Bye,47660,56942,58099,61481,59432,68274,78473,61204,43353,56055,64232,53147,66318,73765,63846,69278
25,San Francisco 49ers,1041004,544231.0,496773.0,68678,67685,72100,67447,65872,68151,64109,Bye,68657,52198,68193,68304,53463,67465,62373,68329,57980
26,Seattle Seahawks,1042217,530520.0,511697.0,66238,66944,57881,66400,Bye,59432,66301,59869,66303,66314,78714,66314,44716,66318,65987,66332,78154
27,St. Louis Rams,996035,520926.0,475109.0,62100,Bye,63253,45481,65872,51973,65866,66415,73224,65965,68193,65864,62285,46838,66065,65941,60700
28,Tampa Bay Buccaneers,1000867,522691.0,478176.0,65026,64285,65297,64106,59868,Bye,65283,63135,47129,64927,65158,66314,65741,65536,46395,65723,66944
29,Tennessee Titans,1017727,528890.0,488837.0,65272,65904,61502,67447,65486,51875,Bye,66415,74109,46017,66619,72008,67854,66357,66196,66641,48025
30,Washington Redskins,1160975,619749.0,541226.0,79237,73170,78161,76831,Bye,55893,64377,77621,78721,66591,78641,74741,77693,75851,57012,68329,78106
31,,16095147,,,999864,1003599,903959,911393,903239,913287,900734,880483,931804,912115,1020246,983779,954362,977044,981355,952300,965584
